store_name,city,zip_code,store_location,county,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,day,day_of_week
dyno's 51,sanborn,51248,POINT (-95.656064 43.186035000000004),o'brien,root beer schnapps,jim beam brands,dekuyper rootbeer,12,1000,7.35,11.02,4,44.08,4.0,1.06,2012,2,15,2
hy-vee,spencer,51301,POINT (-95.14506 43.145897),clay,american distilled spirit specialty,"american heritage distillers, llc",century farms prairie states corn whiskey rapid aged,12,750,8.51,12.77,24,306.48,18.0,4.75,2020,8,5,2
casey's general store,riceville,50466,POINT (-92.55645 43.363838),howard,temporary &  specialty packages,sazerac company  inc,dr. mcgillicuddy''s apple pie football pet mini,12,50,5.0,7.5,2,15.0,0.1,0.02,2020,10,26,0
hy-vee,des moines,50315,POINT (-93.602372 41.526289),polk,decanters & specialty packages,diageo americas,bailey's original irish cream w/4 shot glasses,6,750,13.25,19.88,30,596.4,22.5,5.94,2015,10,12,0
hy-vee,spencer,51301,POINT (-95.14506 43.145897),clay,american vodka,e & j gallo winery,new amsterdam vodka,6,1750,13.32,19.98,3,19.98,5.25,1.38,2016,8,31,2
ingersoll wine merchants,west des moines,50266,POINT (-93.771159 41.590871),polk,temporary &  specialty packages,jim beam brands,maker''s mark generations tri-pack,3,375,42.0,63.0,1,63.0,0.37,0.09,2020,10,8,3
hy-vee,bettendorf,52722,POINT (-90.483701 41.552338),scott,decanters & specialty packages,sidney frank importing co.,jagermeister w/shot glasses,12,750,12.05,18.08,36,650.88,27.0,7.13,2015,12,2,2
hy-vee,west des moines,50265,POINT (-93.773557 41.561197),polk,decanters & specialty packages,"moet hennessy usa, inc.",glenmorangie taster pack,6,400,14.99,22.49,6,134.94,2.4,0.63,2015,12,14,0
hy-vee,coralville,52241,POINT (-91.591868 41.682337000000004),johnson,imported distilled spirit specialty,"john ernest distillery, inc.",maestro agavero gold,12,1000,7.0,10.5,48,504.0,48.0,12.68,2019,11,11,0
i-80 liquor,council bluffs,51501,POINT (-95.8792 41.238092),pottawattamie,miscellaneous schnapps,sazerac company  inc,99 bananas mini,10,600,5.94,8.91,3,26.73,1.8,0.48,2015,12,18,4
wal-mart,windsor heights,50311,POINT (-93.716991 41.594787),polk,decanters & specialty packages,mhw ltd,rumchata w/thermal cup,6,750,12.5,18.75,102,1912.5,76.5,20.21,2013,10,4,4
cedar ridge vineyards,swisher,52338,POINT (-91.67737 41.8321),johnson,irish whiskies,cedar ridge vineyards llc,cedar ridge single malt whiskey,6,750,25.0,37.5,60,2250.0,45.0,11.89,2014,10,22,2
wal-mart,lemars,51031,POINT (-96.185499 42.780675),plymouth,decanters & specialty packages,sazerac company  inc,old st. nick''s egg nog,12,750,3.63,5.45,120,654.0,90.0,23.78,2012,10,8,0
hy-vee,iowa city,52240,POINT (-91.53046300000001 41.642764),johnson,irish whiskies,william grant & sons inc,tullamore dew irish whisky,12,750,14.38,21.57,36,776.52,27.0,7.13,2014,12,1,0
hy-vee,fairfield,52556,POINT (-91.978702 41.006456),jefferson,special order items,castle brands,jefferson's ocean aged at sea,6,750,42.49,63.74,18,1147.32,13.5,3.57,2017,12,11,0
jim's food  ,waterloo,50701,POINT (-92.355915 42.487326),black hawk,peach brandies,constellation wine company,paul masson peach grande amber brandy,24,375,3.22,4.83,15,72.45,5.62,1.49,2016,8,16,1
hy-vee,red oak,51566,POINT (-95.83539 41.279189),montgomery,tropical fruit schnapps,sazerac company  inc,maui blue hawaiian schnapps,12,1000,4.54,6.81,4,27.24,4.0,1.06,2015,11,3,1
"ray's supermarket, inc.",waterloo,50703,POINT (-92.315215 42.495394),black hawk,special order items,proximo,1800 silver tequila,24,200,4.67,7.01,24,168.24,4.8,1.26,2018,9,18,1
wal-mart,carroll,51401,POINT (-94.893501 42.081312),carroll,decanters & specialty packages,diageo americas,captain morgan original spiced 1.75l w/cm white 200ml,6,1950,17.75,26.63,72,1917.36,140.4,37.09,2014,5,29,3
sara mini mart,davenport,52802,POINT (-90.588375 41.520158),scott,imported vodka,bacardi usa inc,grey goose vodka,12,375,9.0,13.5,3,13.5,1.12,0.29,2016,8,29,0
i-80 liquor,council bluffs,51501,POINT (-95.8792 41.238092),pottawatta,american vodka,skyy spirits inc,skyy vodka,12,1000,12.35,18.53,4,222.36,4.0,1.05,2016,8,29,0
"ray's supermarket, inc.",waterloo,50703,POINT (-92.315215 42.495394),black hawk,mezcal,bacardi usa inc,grey goose night vision,6,1000,22.75,34.13,6,204.78,6.0,1.58,2020,10,6,1
hy-vee,cedar falls,50613,POINT (-92.435236 42.512789),black hawk,aged dark rum,bacardi usa inc,bacardi black,12,750,8.25,12.38,24,297.12,18.0,4.75,2020,10,13,1
"green frog distillery, llc",keokuk,52632,POINT (-91.399797 40.473242000000006),lee,corn whiskies,"green frog distillery, llc",green frog distillery caramel flavored corn whiskey,6,750,15.0,22.5,24,540.0,18.0,4.75,2019,7,12,4
hy-vee,dubuque,52001,POINT (-90.666497 42.49721900000001),dubuque,raspberry schnapps,luxco inc,arrow raspberry schnapps,12,1000,5.0,7.5,4,30.0,4.0,1.06,2015,12,28,0
hy-vee,cedar rapids,52403,POINT (-91.632647 41.976952),linn,apricot brandies,heaven hill brands,christian bros brandy,24,375,3.22,4.83,5,24.15,1.88,0.5,2013,2,6,2
hy-vee,coralville,52241,POINT (-91.591868 41.682337000000004),johnson,irish whiskies,pernod ricard usa,jameson,24,375,6.74,10.11,5,50.55,1.88,0.5,2016,8,15,0
casey's general store,cedar rapids,52405,POINT (-91.715925 41.979772),linn,gold rum,luxco inc,paramount gold rum pet,12,750,4.0,6.0,9,54.0,6.75,1.78,2019,7,1,0
hy-vee,bettendorf,52722,POINT (-90.483701 41.552338),scott,decanters & specialty packages,brown-forman corporation,jack daniels winter jack,12,750,10.34,15.51,60,930.6,45.0,11.89,2014,10,8,2
hy-vee,dubuque,52002,POINT (-90.741064 42.516633),dubuque,decanters & specialty packages,heaven hill brands,christian brothers holiday nog,12,750,4.46,6.69,60,401.4,45.0,11.89,2014,10,22,2
sam's club,ankeny,50021,POINT (-93.581273 41.691),polk,special order items,sazerac company  inc,member's mark spiced rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,2018,6,15,4
keokuk spirits,keokuk,52632,POINT (-91.387797 40.400038),lee,neutral grain spirits flavored,ole smoky distillery,ole smoky mango habanero whiskey,6,750,10.0,15.0,18,270.0,13.5,3.56,2020,10,28,2
ameristar casino,council bluffs,51501,POINT (-95.909384 41.242291),pottawatta,coffee liqueurs,luxco inc,caffe lolita coffee liqueur,12,750,5.0,7.5,24,180.0,18.0,4.75,2019,1,18,4
hy-vee,cedar rapids,52405,POINT (-91.697941 41.97447),linn,miscellaneous schnapps,jim beam brands,dekuyper cherry pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06,2015,2,24,1
southside liquor & tobacco,iowa city,52240,POINT (-91.52741 41.643807),johnson,american cordials & liqueurs,sazerac company  inc,fireball cinnamon,48,100,0.89,1.34,3,64.32,0.3,0.07,2016,8,30,1
ingersoll wine merchants,west des moines,50266,POINT (-93.771159 41.590871),polk,special order items,jinro america inc,jinro chamisul classic soju,12,750,7.25,10.88,72,783.36,54.0,14.27,2017,11,21,1
hy-vee,fort dodge,50501,POINT (-94.15824700000002 42.504742),webster,gold rum,bacardi usa inc,bacardi gold pet,6,1750,15.0,22.5,8,180.0,14.0,3.69,2020,4,17,4
wal-mart,waterloo,50702,POINT (-92.330801 42.460238),black hawk,decanters & specialty packages,jim beam brands,canadian club 1858 w/2 glasses,6,750,7.88,11.82,18,212.76,13.5,3.57,2013,12,2,0
main street spirits,mapleton,51034,POINT (-95.79375 42.165915),monona,decanters & specialty packages,diageo americas,crown royal 1.75l w/50ml cr maple & cr black tray pack,6,1850,31.5,47.25,2,94.5,3.7,0.98,2014,9,23,1
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,single barrel bourbon whiskies,four roses distillery,four roses single barrel,6,750,21.17,31.76,30,952.8,22.5,5.94,2020,10,15,3
ruthven meat processing,ruthven,51358,POINT (-94.897368 43.130922),palo alto,apricot brandies,luxco inc,paramount apricot flavored brandy,12,1000,6.53,9.8,4,39.2,4.0,1.06,2016,1,12,1
fareway stores,iowa city,52246,POINT (-91.575636 41.650842),johnson,decanters & specialty packages,diageo americas,captain morgan original spiced 1.75l w/cm white 200ml,6,1950,18.0,27.0,6,162.0,11.7,3.09,2014,9,17,2
benz distributing,cedar rapids,52401,POINT (-91.659875 41.97574),linn,distilled spirits specialty,pernod ricard usa,plymouth sloe gin,6,750,12.56,18.84,18,339.12,13.5,3.57,2016,8,3,2
sam's club,sioux city,51106,POINT (-96.37082 42.43407),woodbury,special order items,sazerac company  inc,member's mark spiced rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,2018,5,16,2
hy-vee,waukee,50263,POINT (-93.854477 41.615059),dallas,triple sec,luxco inc,paramount triple sec,12,750,3.42,5.13,24,123.12,18.0,4.75,2020,4,28,1
wal-mart,grimes,50111,POINT (-93.771698 41.688332),polk,temporary &  specialty packages,diageo americas,crown royal regal apple w/ shot glass,12,750,15.59,23.39,36,842.04,27.0,7.13,2019,11,1,4
wal-mart,fairfield,52556,POINT (-91.993721 41.006375),jefferson,decanters & specialty packages,jim beam brands,pinnacle w/3-50mls,6,750,7.01,10.52,18,189.36,13.5,3.57,2013,12,2,0
hy-vee,des moines,50320,POINT (-93.596754 41.554101),polk,special order items,imperial brands inc,sobieski cytron,12,750,5.7,8.55,60,513.0,45.0,11.89,2017,12,18,0
"elliott's general store,",moravia,52571,POINT (-92.834054 40.892417),appanoose,root beer schnapps,jim beam brands,dekuyper rootbeer,12,1000,7.87,11.81,4,47.24,4.0,1.06,2016,8,10,2
hy-vee,boone,50036,POINT (-93.876107 42.063831),boone,temporary &  specialty packages,sazerac company  inc,dr. mcgillicuddy''s grape football pet mini,12,50,5.0,7.5,4,30.0,0.2,0.05,2020,10,23,4
hy-vee,urbandale,50322,POINT (-93.739105 41.629364),polk,aged dark rum,jim beam brands,cruzan blackstrap,6,750,8.2,12.3,18,221.4,13.5,3.56,2019,2,14,3
john's grocery,iowa city,52240,POINT (-91.529854 41.663541),johnson,gold rum,w j deutsch & sons ltd,plantation rum old fashioned traditional dark overproof,6,1000,17.5,26.25,18,472.5,18.0,4.75,2019,2,19,1
sam's club,sioux city,51106,POINT (-96.37082 42.43407),woodbury,special order items,sazerac company  inc,members mark spiced rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,2019,11,19,1
food land super markets,missouri valley,51555,POINT (-95.899346 41.557404),harrison,apricot brandies,luxco inc,paramount apricot flavored brandy,12,1000,6.52,9.79,5,48.95,5.0,1.32,2013,8,12,0
wal-mart,ames,50010,POINT (-93.610343 42.017115),story,decanters & specialty packages,diageo americas,bailey's original irish cream w/2 glasses,6,750,13.0,19.5,30,585.0,22.5,5.94,2013,10,11,4
bootleggin' barzini's fin,coralville,52241,POINT (-91.565517 41.672672),johnson,decanters & specialty packages,"moet hennessy usa, inc.",glenmorangie 10yr discovery pack w/3 50ml,6,900,21.99,32.99,2,65.98,1.8,0.48,2014,2,12,2
central city,des moines,50314,POINT (-93.613739 41.60572),polk,special order items,fredrick wildman & son,sooh chartreuse green french liqueur,12,750,31.13,46.7,24,1120.8,18.0,4.75,2020,8,17,0
cedar ridge vineyards,swisher,52338,POINT (-91.67737 41.8321),johnson,aged dark rum,cedar ridge vineyards llc,cedar ridge dark rum,6,750,17.5,26.25,18,472.5,13.5,3.56,2019,1,16,2
hy-vee,mason city,50401,POINT (-93.17114 43.14623),cerro gordo,decanters & specialty packages,stoli group,stolichnaya premium vodka w/lemon juicer/shaker,6,750,11.99,17.99,30,539.7,22.5,5.94,2015,6,11,3
wal-mart,muscatine,52761,POINT (-91.025913 41.45529),muscatine,decanters & specialty packages,ole smoky distillery,ole smoky lemon drop moonshine w/mason jar & pour spout,6,750,13.17,19.76,18,355.68,13.5,3.57,2014,5,23,4
central city,des moines,50314,POINT (-93.619787 41.60566),polk,american cordials & liqueurs,sazerac company  inc,fireball cinnamon,48,100,0.89,1.34,2,64.32,0.2,0.05,2016,8,30,1
hy-vee,carroll,51401,POINT (-94.853591 42.064155),carroll,straight rye whiskies,jim beam brands,knob creek rye,6,1750,33.07,49.61,30,1488.3,52.5,13.87,2017,11,30,3
a. v. liquor,alta vista,50603,POINT (-92.411781 43.196371),chickasaw,tropical fruit schnapps,jim beam brands,dekuyper island punch pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06,2013,2,25,0
le claire grocery store,le claire,52753,POINT (-90.343743 41.602962),scott,straight rye whiskies,mississippi river distilling co,cody road rye mini,6,50,15.0,22.5,2,45.0,0.1,0.02,2020,2,3,0
hy-vee,sioux city,51104,POINT (-96.417783 42.519886),woodbury,decanters & specialty packages,heaven hill brands,christian brothers holiday nog,12,750,4.46,6.69,36,240.84,27.0,7.13,2012,10,22,0
guppy's on the go,tripoli,50676,POINT (-92.264269 42.802374),bremer,cinnamon schnapps,jim beam brands,dekuyper hot damn!,24,375,3.06,4.59,5,22.95,1.88,0.5,2013,2,12,1
hy-vee,west des moines,50266,POINT (-93.808855 41.598515),polk,single malt scotch,pernod ricard usa,the glenlivet,6,1750,42.47,63.71,24,1529.04,42.0,11.1,2016,8,9,1
costco wholesale,west des moines,50266,POINT (-93.806489 41.561342),dallas,single malt scotch,william grant & sons inc,balvenie 12yr doublewood,12,750,35.0,52.5,24,1260.0,18.0,4.75,2020,11,24,1
john's grocery,iowa city,52240,POINT (-91.529854 41.663541),johnson,straight rye whiskies,diageo americas,bulleit 95 rye,12,750,16.75,25.13,36,904.68,27.0,7.13,2016,1,13,2
sam's club,waterloo,50702,POINT (-92.353103 42.456374),black hawk,special order items,sazerac company  inc,members mark vodka,6,1750,8.51,12.77,360,4597.2,630.0,166.42,2018,9,10,0
central city,des moines,50314,POINT (-93.619787 41.60566),polk,single malt scotch,william grant & sons inc,glenfiddich 12yr single malt scotch,24,375,11.5,17.25,72,1242.0,27.0,7.13,2018,9,6,3
central city,des moines,50314,POINT (-93.619787 41.60566),polk,single malt scotch,total beverage solutions,edradour 10yr sing malt scotch,6,750,29.67,44.51,30,1335.3,22.5,5.94,2013,2,14,3
central city,des moines,50314,POINT (-93.619787 41.60566),polk,decanters & specialty packages,diageo americas,crown royal w/flask,4,1750,31.0,46.5,4,186.0,7.0,1.85,2012,10,1,0
hy-vee,west des moines,50265,POINT (-93.773557 41.561197),polk,decanters & specialty packages,pernod ricard usa,"the glenlivet tasting kit w/12yr 200ml, 15yr 200ml & 18yr 200ml",6,600,34.99,52.49,6,314.94,3.6,0.95,2013,11,11,0
hy-vee,des moines,50310,POINT (-93.65129 41.626668),polk,root beer schnapps,jim beam brands,dekuyper rootbeer,12,1000,7.35,11.02,4,44.08,4.0,1.06,2012,4,16,0
ingersoll liquor and beverage,des moines,50312,POINT (-93.664182 41.586319),polk,single malt scotch,"moet hennessy usa, inc.",ardbeg corryvreckan,6,750,44.97,67.46,30,2023.8,22.5,5.94,2015,4,23,3
mmdg spirits,ames,50014,POINT (-93.650131 42.021789),story,miscellaneous schnapps,jim beam brands,dekuyper cherry pucker,12,1000,7.35,11.02,4,44.08,4.0,1.06,2012,10,25,3
hy-vee,waverly,50677,POINT (-92.475403 42.712263),bremer,decanters & specialty packages,diageo americas,crown royal w/flask,4,1750,31.0,46.5,4,186.0,7.0,1.85,2012,10,12,4
i-80 liquor,council bluffs,51501,POINT (-95.8792 41.238092),pottawatta,single malt scotch,edrington group usa llc,macallan 12yr,12,750,40.01,60.02,60,3601.2,45.0,11.88,2020,2,19,2
hy-vee,davenport,52807,POINT (-90.548919 41.55678100000001),scott,straight rye whiskies,mississippi river distilling co,cody road rye,6,750,19.17,28.76,18,517.68,13.5,3.57,2015,11,18,2
hy-vee,mason city,50401,POINT (-93.235588 43.148451),cerro gord,coffee liqueurs,pernod ricard usa,kahlua coffee,6,1750,24.99,37.49,36,1349.64,63.0,16.64,2019,12,19,3
hy-vee,spencer,51301,POINT (-95.14506 43.145897),clay,peach schnapps,jim beam brands,dekuyper peachtree schnapps,24,375,3.06,4.59,7,32.13,2.62,0.69,2012,8,29,2
mississippi river distillery,leclaire,52753,POINT (-90.34359400000001 41.599733),scott,straight rye whiskies,mississippi river distilling co,cody road rye,6,750,19.17,28.76,36,1035.36,27.0,7.13,2017,9,14,3
hy-vee,eldora,50627,POINT (-93.103764 42.360631),hardin,aged dark rum,jim beam brands,cruzan dark,12,1000,8.4,12.6,2,25.2,2.0,0.52,2019,12,30,0
bender's foods,bellevue,52031,POINT (-90.42292 42.255449),jackson,root beer schnapps,jim beam brands,dekuyper rootbeer,12,1000,7.62,11.43,4,45.72,4.0,1.06,2016,1,11,0
karl's grocery store,edgewood,52042,POINT (-91.401487 42.645390000000006),clayton,spearmint schnapps,luxco inc,arrow spearmint schnapps,12,1000,5.0,7.5,4,30.0,4.0,1.06,2016,2,1,0
hy-vee,spencer,51301,POINT (-95.14506 43.145897),clay,butterscotch schnapps,jim beam brands,dekuyper buttershots schnapps,12,750,6.3,9.45,9,85.05,6.75,1.78,2016,1,5,1
north scott foods,eldridge,52748,POINT (-90.577311 41.654695000000004),scott,100 proof vodka,fifth generation inc,titos handmade vodka,12,1000,11.92,17.88,48,858.24,48.0,12.68,2016,2,11,3
sara mini mart,davenport,52802,POINT (-90.588375 41.520158),scott,irish whiskies,pernod ricard usa,jameson,24,375,6.74,10.11,7,70.77,2.62,0.69,2015,7,27,0
hy-vee,mason city,50401,POINT (-93.235588 43.148451),cerro gord,aged dark rum,jim beam brands,cruzan blackstrap,6,750,8.2,12.3,30,369.0,22.5,5.94,2020,5,7,3
fareway stores,mason city,50401,POINT (-93.199494 43.155945),cerro gordo,decanters & specialty packages,diageo americas,smirnoff 1.75l w/smirnoff raspberry 200ml,6,1950,14.75,22.13,6,132.78,11.7,3.09,2014,6,2,0
hy-vee,iowa city,52245,POINT (-91.528105 42.207428),johnson,100 proof vodka,luxco inc,hawkeye vodka,48,200,1.15,1.73,12,20.76,2.4,0.63,2016,2,10,2
hy-vee,cedar falls,50613,POINT (-92.435236 42.512789),black hawk,100 proof vodka,laird & company,five o'clock vodka,24,375,1.93,2.9,7,20.3,2.62,0.69,2016,2,24,2
hy-vee,west des moines,50266,POINT (-93.808855 41.598515),polk,single malt scotch,pernod ricard usa,glenlivet 12yr,12,750,23.98,35.97,36,1267.92,27.0,7.13,2017,3,7,1
quicker liquor store,fort madison,52627,POINT (-91.373211 40.62422600000001),lee,decanters & specialty packages,pernod ricard usa,malibu w/50ml black & red,12,850,7.49,11.24,24,269.76,20.4,5.39,2014,8,25,0
hy-vee,creston,50801,POINT (-94.372552 41.051462),union,root beer schnapps,jim beam brands,dekuyper rootbeer,12,1000,7.62,11.43,5,57.15,5.0,1.32,2013,8,27,1
benz distributing,cedar rapids,52401,POINT (-91.659875 41.97574),linn,barbados rum,castle brands,gosling's black seal rum,12,750,8.5,12.75,36,459.0,27.0,7.13,2012,3,26,0
sam's club,ames,50010,POINT (-93.613648 42.001123),story,special order items,sazerac company  inc,members mark spiced rum,6,1750,9.06,13.59,288,3913.92,504.0,133.14,2020,5,13,2
cyclone liquors,ames,50010,POINT (-93.618911 42.022854),story,aged dark rum,jim beam brands,cruzan dark,12,1000,8.4,12.6,2,25.2,2.0,0.52,2020,7,2,3
pronto,spirit lake,51360,POINT (-95.126585 43.42282),dickinson,decanters & specialty packages,"moet hennessy usa, inc.",hennessy vs flask,24,200,5.74,8.61,2,17.22,0.4,0.11,2016,4,19,1
cyclone liquors,ames,50010,POINT (-93.618911 42.022854),story,special order items,brown-forman corporation,jack daniel's single barrel buy the barrel,6,750,27.09,40.64,300,12192.0,225.0,59.44,2017,9,27,2
hy-vee,eldora,50627,POINT (-93.103764 42.360631),hardin,aged dark rum,jim beam brands,cruzan dark,12,1000,8.4,12.6,5,63.0,5.0,1.32,2020,7,20,0
pit stop liquors,newton,50208,POINT (-93.035654 41.699173),jasper,decanters & specialty packages,pernod ricard usa,absolut w/50ml citron & mandrin,12,850,11.49,17.24,1,17.24,0.85,0.22,2014,12,11,3
great pastimes,monticello,52310,POINT (-91.183413 42.24013200000001),jones,imported vodka,pernod ricard usa,absolut swedish vodka 80 prf mini,10,600,7.92,11.88,1,11.88,0.6,0.15,2016,8,30,1
i-80 liquor,council bluffs,51501,POINT (-95.8792 41.238092),pottawatta,american vodka,sazerac company  inc,barton vodka,12,1000,3.97,5.96,6,71.52,6.0,1.58,2016,8,29,0
sam's club,cedar rapids,52402,POINT (-91.67969 42.031819),linn,coffee liqueurs,pernod ricard usa,kahlua coffee,6,1750,24.99,37.49,30,1124.7,52.5,13.86,2019,11,14,3
last call 2,george,51237,POINT (-96.002297 43.344294),lyon,blackberry brandies,luxco inc,arrow blackberry flav brandy,12,1000,6.38,9.56,4,38.24,4.0,1.06,2012,8,22,2
hy-vee,sioux city,51104,POINT (-96.417783 42.519886),woodbury,decanters & specialty packages,jim beam brands,jim beam w/ barbecue sauce,6,750,10.49,15.74,60,944.4,45.0,11.89,2015,6,24,2
hy-vee,mason city,50401,POINT (-93.235588 43.148451),cerro gordo,decanters & specialty packages,brown-forman corporation,jack daniel's sb ducks unlimited w/btl stopper,6,750,25.07,37.61,18,676.98,13.5,3.57,2012,10,22,0
hy-vee,fairfield,52556,POINT (-91.978702 41.006456),jefferson,decanters & specialty packages,pernod ricard usa,absolut unique,12,750,10.25,15.75,22,346.5,16.5,4.36,2012,10,23,1
hy-vee,ames,50010,POINT (-93.618247 42.025042),story,decanters & specialty packages,diageo americas,bailey's original irish cream multi pack,30,200,6.66,9.99,12,119.88,2.4,0.63,2015,10,14,2
dewitt travel mart,dewitt,52742,POINT (-90.538952 41.821779),clinton,special order items,heaven hill brands,sooh fighting cock bourbon,12,750,8.96,13.44,24,322.56,18.0,4.75,2020,8,10,0
mississippi river distillery,leclaire,52753,POINT (-90.34359400000001 41.599733),scott,straight rye whiskies,mississippi river distilling co,cody road rye mini,6,50,15.0,22.5,24,540.0,1.2,0.31,2020,8,12,2
ingersoll liquor and beverage,des moines,50312,POINT (-93.664182 41.586319),polk,decanters & specialty packages,"moet hennessy usa, inc.",glenmorangie 10yr discovery pack w/3 50ml,6,900,21.49,32.24,6,193.44,5.4,1.43,2012,12,21,4
bancroft liquor store,bancroft,50517,POINT (-94.218 43.29355),kossuth,american distilled spirit specialty,s&b farms distillery,private first class,12,750,12.96,19.44,24,466.56,18.0,4.75,2019,12,26,3
the liquor house,iowa city,52240,POINT (-91.530225 41.656031),johnson,peach schnapps,luxco inc,paramount peach schnapps,12,1000,5.42,8.13,48,390.24,48.0,12.68,2015,4,22,2
hy-vee,davenport,52806,POINT (-90.608201 41.560663),scott,decanters & specialty packages,sazerac company  inc,old st. nick''s egg nog,12,750,3.64,5.46,96,524.16,72.0,19.02,2013,10,11,4
wal-mart,lemars,51031,POINT (-96.185499 42.780675),plymouth,holiday vap,pernod ricard usa,the glenlivet w/50ml 15yr & founders reserve,6,850,21.98,32.97,1,0.0,0.85,0.22,2016,10,6,3
central city,des moines,50314,POINT (-93.619787 41.60566),polk,single barrel bourbon whiskies,sazerac company  inc,blanton's sing barrel bourbon 6pak,6,750,24.37,36.56,60,2193.6,45.0,11.89,2012,7,19,3
old fire liquor,buffalo center,50424,POINT (-93.947595 43.386755),winnebago,neutral grain spirits flavored,ole smoky distillery,ole smoky salty caramel whiskey,6,750,10.0,15.0,18,270.0,13.5,3.56,2020,7,1,2
i-80 liquor,council bluffs,51501,POINT (-95.8792 41.238092),pottawattamie,apricot brandies,luxco inc,paramount apricot flavored brandy,12,1000,6.53,9.8,4,39.2,4.0,1.06,2016,4,11,0
hy-vee,marshalltown,50158,POINT (-92.912817 42.039205),marshall,american amaretto,sazerac company  inc,amaretto e dolce,12,750,3.34,5.01,36,180.36,27.0,7.13,2014,3,4,1
hy-vee,mason city,50401,POINT (-93.17114 43.14623),cerro gordo,miscellaneous schnapps,sazerac company  inc,99 bananas mini,10,600,5.94,8.91,3,26.73,1.8,0.48,2015,2,5,3
sam's club,council bluffs,51501,POINT (-95.847163 41.225208),pottawatta,coffee liqueurs,pernod ricard usa,kahlua coffee,6,1750,24.99,37.49,36,1349.64,63.0,16.64,2019,12,26,3
hy-vee,clarinda,51632,POINT (-95.037849 40.726808),page,miscellaneous schnapps,jim beam brands,dekuyper cactus juice,12,1000,7.35,11.02,4,44.08,4.0,1.06,2012,5,8,1
central city,des moines,50314,POINT (-93.619787 41.60566),polk,special order items,fredrick wildman & son,chartreuse yellow,12,750,31.13,46.7,36,1681.2,27.0,7.13,2020,7,20,0
bootleggin' barzini's fin,coralville,52241,POINT (-91.565517 41.672672),johnson,decanters & specialty packages,pernod ricard usa,the glenlivet w/50ml 15yr & 18yr,6,850,21.99,32.99,1,32.99,0.85,0.22,2014,5,28,2
b p on 1st,cedar rapids,52402,POINT (-91.634838 42.005867),linn,american vodka,sazerac company  inc,skol vodka,24,375,1.74,2.61,1,62.64,0.37,0.09,2016,8,31,2
kum & go,riverside,52327,POINT (-91.555044 41.486572),washington,american vodka,diageo americas,smirnoff vodka 80 prf,24,375,4.75,7.13,3,7.13,1.12,0.29,2016,8,29,0
uptown liquor & tobacco,cedar rapids,52404,POINT (-91.725777 41.959614),linn,american vodka,mccormick distilling co,mccormick vodka pet,24,375,1.8,2.7,1,64.8,0.37,0.09,2016,8,31,2
wal-mart,cedar falls,50613,POINT (-92.440394 42.485042),black hawk,american vodka,sazerac company  inc,barton vodka,6,1750,6.92,10.38,3,62.28,5.25,1.38,2016,8,30,1
"iowa street market, inc.",dubuque,52001,POINT (-90.668138 42.504959),dubuque,imported vodka,bacardi usa inc,grey goose vodka,12,200,5.0,7.5,1,90.0,0.2,0.05,2016,8,30,1
keokuk spirits,keokuk,52632,POINT (-91.387797 40.400038),lee,mezcal,bacardi usa inc,grey goose night vision,6,1000,22.75,34.13,60,2047.8,60.0,15.85,2020,10,14,2
hy-vee,cedar rapids,52402,POINT (-91.658105 42.010971),linn,straight rye whiskies,heaven hill brands,rittenhouse rye 100 proof-ha,12,750,12.98,19.47,11,214.17,8.25,2.18,2015,12,26,5
costco wholesale,west des moines,50266,POINT (-93.806489 41.561342),dallas,decanters & specialty packages,the patron spirits company,patron reposado citronage summer pack,6,750,27.0,40.5,120,4860.0,90.0,23.78,2012,5,17,3
bootleggin' barzini's fin,coralville,52241,POINT (-91.565517 41.672672),johnson,special order items,w j deutsch & sons ltd,luksusowa potato vodka,12,750,7.46,11.19,36,402.84,27.0,7.13,2017,7,19,2
downtown liquor,iowa city,52240,POINT (-91.530181 41.657654),johnson,special order items,heaven hill brands,sooh burnetts mango,12,750,4.5,6.75,36,243.0,27.0,7.13,2020,10,20,1
lickety liquor,des moines,50317,POINT (-93.570489 41.607817),polk,gold rum,luxco inc,paramount gold rum pet,12,750,4.0,6.0,7,42.0,5.25,1.38,2020,11,30,0
hy-vee,council bluffs,51503,POINT (-95.825137 41.242732),pottawattamie,decanters & specialty packages,heaven hill brands,evan williams peppermint chocolate egg nog,12,750,4.46,6.69,36,240.84,27.0,7.13,2014,12,2,1
central city,des moines,50314,POINT (-93.619787 41.60566),polk,decanters & specialty packages,pernod ricard usa,"the glenlivet tasting kit w/12yr 200ml, 15yr 200ml & 18yr 200ml",6,600,34.99,52.49,6,314.94,3.6,0.95,2014,9,18,3
wal-mart,fort dodge,50501,POINT (-94.153456 42.505334),hardin,decanters & specialty packages,sazerac company  inc,old st. nick''s egg nog,12,750,3.63,5.45,36,196.2,27.0,7.13,2012,11,19,0
