store_name,city,zip_code,store_location,county,category_name,vendor_name,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,year,month,day,day_of_week
wal-mart,carroll,51401,POINT (-94.893501 42.081312),carroll,decanters & specialty packages,mhw ltd,rumchata iced coffee pack,6,750,12.5,18.75,18,337.5,13.5,3.57,2014,4,24,3
hy-vee,cedar rapids,52402,POINT (-91.658105 42.010971),linn,gold rum,bacardi usa inc,bacardi gold rum pet,6,1750,15.0,22.5,60,1350.0,105.0,27.73,2018,8,14,1
new pioneer food co-op,coralville,52241,POINT (-91.580773 41.674022),johnson,miscellaneous  brandies,cedar ridge vineyards llc,cedar ridge apple brandy,6,750,18.75,28.13,18,506.34,13.5,3.57,2014,10,8,2
cyclone liquors,ames,50010,POINT (-93.618911 42.022854),story,imported vodka,luxco inc,pearl vodka pet,6,1750,10.0,15.0,3,15.0,5.25,1.38,2016,8,31,2
east side liquor and groceries,marshalltown,50158,POINT (-92.893113 42.044345),marshall,american cordials & liqueurs,sazerac company  inc,99 bananas,48,100,0.89,1.34,1,64.32,0.1,0.02,2016,8,31,2
target,cedar rapids,52404,POINT (-91.716111 41.944272),linn,cocktails / rtd,proximo,jose cuervo authentic lime margarita 4pk cans,6,800,3.88,5.82,1,34.92,0.8,0.21,2016,8,31,2
vom fass,des moines,50312,POINT (-93.674384 41.59343100000001),polk,special order items,yahara bay distillers inc,yahara bay american whiskey,6,50,4.6,6.9,6,41.4,0.3,0.08,2017,11,30,3
target,coralville,52241,POINT (-91.608399 41.691276),johnson,decanters & specialty packages,pernod ricard usa,the glenlivet w/50ml 15yr & 18yr,6,850,20.99,32.24,12,386.88,10.2,2.69,2014,10,22,2
hy-vee,dubuque,52002,POINT (-90.741064 42.516633),dubuque,decanters & specialty packages,brown-forman corporation,jack daniels winter jack,12,750,10.34,15.51,60,930.6,45.0,11.89,2015,10,13,1
wal-mart,centerville,52544,POINT (-92.867849 40.70856),appanoose,temporary &  specialty packages,jim beam brands,jim beam 50ml holiday 4pk,12,50,2.0,3.0,36,108.0,1.8,0.47,2020,10,26,0
wal-mart,iowa city,52246,POINT (-91.552125 41.646646),johnson,temporary &  specialty packages,mhw ltd,rumchata holiday vap with 100ml,6,750,12.5,18.75,30,562.5,22.5,5.94,2020,10,27,1
vinos y licores el aguaje,marshalltown,50158,POINT (-92.91480200000001 42.049174),marshall,apricot brandies,heaven hill brands,christian bros brandy,24,375,3.23,4.85,5,24.25,1.88,0.5,2013,12,28,5
the secret cellar,shueyville,52338,POINT (-91.646067 41.847398),johnson,cocktails / rtd,"worldwide libations, llc",the bitter truth cocktail bitters traveler's set,12,100,9.5,14.25,3,42.75,0.3,0.07,2020,11,30,0
hy-vee,council bluffs,51501,POINT (-95.879662 41.261925),pottawattamie,decanters & specialty packages,diageo americas,crown royal w/2 glasses,4,1750,31.99,47.99,4,191.96,7.0,1.85,2015,10,5,0
